Category,Activity_name,Price,Age_range,Activity_description,Available_dates
İdman və Döyüş Sənəti,Futsal Meetup (hər həftə),7,14+,"Biletə daxildir:

Oyun üçün xalça sahə
Standardlara uyğun top
Komandalar üçün 2 rəngdə uniforma (naketka)
Oyundan əvvəl və sonra istifadə üçün dəyişmə otağı
İsti və soyuq su ilə təmin olunmuş hamam/duş
Oyundan sonra limonlu çay

Qiymət: 7AZN
Dil: Azərbaycan, Rus, İngilis, Ərəb dillərini bilirik.
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
Ünvan: 178 saylı orta məktəbin arxası, Nərimanov, saatlı bina ilə üzbəüz
Startup, Biznes, İdman, Texnologiya, Kripto, Əlaqələr, Peşəkar və həvəskarlar ilə birlikdə Limonlu Çay Söhbəti! Hamısı birlikdə hər həftə Startup Futsal Meetup proqramında.
Kimlər iştirak edir?

Cəsur Həsənov - Bir neçə startapın və startup studionun təsisçisi, Startup Azərbaycan icmasının təsisçisi, Fransız Azərbaycan Universitetinin Biznes, Menecment və Marketinq üzrə müəllimi və daha nələr-nələr... Ətraflı (http://jasurhasanov.com/bio)
Mədyən Məlfi - Bakıda yaşayan əcnəbi startap təsisçisi, proqramist və uğurlu kripto mütəxəssisi.
Ağahüseyn Əhmədov - 500 Startups Azərbaycan proqramının koordinatoru, əvvəl Seedstars proqramının regional meneceri və nələr-nələr.
Coşqun Kərimov - Startapçı, 5 kitab müəllifi, peşəkar təlimçi, həvəskar brekdans ustası və son vuruşları ilə bilinən strayker.

Bu adlar ilə yanaşı digər startap və texnologiya sahəsində olan mütəxəssislər, dizaynerlər, proqramistlər, marketoloqlar, influenserlər və müxtəlif sahələrin insanları Startup Futsal Meetup-da bir yerə gəlirlər.
Nə baş verir?
Siz də bu insanlar ilə birlikdə həm əylənmək, həm də söhbət istəyirsinizsə biletlərinizi alıb proqramda iştirak edin. Proqrama daxildir:

İlkin tanışlıq və isinmə hərəkətləri
1 saatlıq futsal oyunu. Həyatınızda ilk dəfə oynayırsınızsa belə çəkinməyin, əmin olun heyətimiz sizi cəmi 3 oyuna qaldıracaqdır və fərqi hiss edəcək, eyni zamanda da oyunu sevəcəksiniz.
Oyundan sonra hamam/duş alınır
Duşdan sonra 30-45 dəqiqəlik Limonlu Çay ilə söhbət davam edir. Ən az futzal oyunu qədər bu söhbətdən və çaydan həzz alacaqsınız.

Qeyd: Oynamasanız belə, izləyici qismində iştirak edə və oyundan sonrakı söhbətə qoşularaq tanışlıqlar və əlaqələr qura bilərsiniz.","['Cüm.A. - Cüm.A., 22:00-23:00 (04 May - 28 Dek.)', 'Baz.E. - Baz.E., 22:00-23:00 (01 May - 25 Dek.)']"
"Tamaşa, Teatr, Şoular","Cinema Fulldome - ""Kəşf Edilməyən Dünyalar""",3,3+,"
Müddət: 30 dəqiqə
Tarix: Hər şənbə və bazar, 17:00
Filmin dili: Azərbaycan dili
Ünvan: Neftçilər Prospekti, Sahil metrosu yaxınlığı
Ləğv qaydası: Qeydiyyatınızı sessiyanın başlamasına 96 saat əvvələ qədər ləğv etmək imkanınız var

Qiymət: 3AZN (Uşaqlar), 5AZN (Böyüklər)
Fulldome Cinema nədir?
Filmlərin nümayiş olunduğu kinoteatr astronomiya və əlaqəli sahələrdə maarifləndirici və əyləncəli şoular vasitəsi ilə ulduzların, planetlərin və digər göy cisimlərinin təsvirlərini izləyə biləcəyiniz ən son nəsil texnologiya ilə təchiz olunmuş yarımkürə qübbəli teatrdır.
""Kəşf Edilməyən Dünyalar"" filmi haqqında
Yer kimi başqa planetlərin olub-olmaması ilə bağlı suallara cavab tapın.
Yeni ekzoplanetlərin kəşfi bizə xatırladır ki, bizim Günəş sistemimiz kainatda yeganə deyil.  Yad planetlərin sayının artması bizim planetlər və günəş sistemlərinin təbiəti haqqında anlayışımızı yenidən müəyyənləşdirir.
Sürətlə təkmilləşən texnologiya və xüsusi teleskoplar vasitəsi ilə ekzoplanetlərin kəşfi bizi Yerə bənzər bir dünya tapmaq imkanına yaxınlaşdırır.
Bu baş verərsə, kainata baxış tərzimiz necə dəyişəcək?","['Şən. - Baz, 17:00-17:30 (29 Apr. - 25 Iyn.)', 'Çərş.A. - Cüm., 18:00-18:30 (28 Apr. - 28 Iyl.)']"
İdman və Döyüş Sənəti,"Snayper - Nəfəs, Dəqiqlik və Atəş",14,7+,"Qiymətə daxildir

Silahla düzgün davranış və təhlükəsizlik qaydaları üzrə brifinq
Peşəkar təlim (düzgün duruş, silahın tutulması, nişan almaq və atəş qaydaları)
İştirakçıya uyğun ölçüdə silah
14 ədəd güllə (əlavə güllə bilet alarkən əldə edə bilərsiniz)
Müxtəlif məsafələrdə olan sabit hədəflər (20 metr, 30 metr, 42 metr)
Fotosessiya imkanı (öz kameranızla)

Qiymət: 14 AZN
Vacib qeyd: 16 yaşından aşağı uşaqların valideynlə birlikdə gəlməsi mütləqdir. Aylıq təlimdə iştirak edənlərə peşəkar atıcılıq sertifikatı verilir.
Dil: Azərbaycan və ya Rus dilində (istəyə uyğun olaraq).
Ünvan: Azərbaycan Nəşriyyatın yaxınlığı
Təlimçi haqqında

İngiltərənin atıcılıq akademiyasının rəhbəri Filip Torald tərəfindən və Rusiya atıcılıq üzrə yığma komandasında təlim almışdır.
Atıcılıq üzrə beynəlxalq dərəcəli sertifikatlara sahibdir, həmçinin beynəlxalq və yerli yarışların təşkilatçısıdır. Tələbələri dəfələrlə atıcılıq üzrə keçirilən yarışlarda qalib olmuşdur.
13 illik təcrübəyə malikdir, Beynəlxalq Döyüş və Xüsusi Hazırlıq federasiyasının Vitse prezidentidir.

Snayper Atıcılıq Haqqında
Siz də filmlərdə snayperləri görüb özünüzü onların yerində təsəvvür etmisiniz? Əminik ki, bəli. Artıq xəyallarınız gerçək olur. 
Filmlərdə gördüyünüz cəsur snayperlər kimi atəş açmağı öyrənmək istəyirsinizsə məşqlərimiz sizin üçündür. Mərkəzimizdə optik nişangahlı tüfəng (PCP) ilə atəş açmağı öyrənmək fokusu artırır, görmə qabiliyyətini genişləndirir, fiziki intizam və gücü artırır. O həm də adrenalin hormonunun ifrazına səbəb olaraq iştirakçılara xoş və əyləncəli anlar yaşadır. Mərkəzimizdə həm də peşəkar optik nişangahlı tüfəng (PCP) təlimləri keçirilir. Məşqlər ""field target"" və ""benchrest"" metodları ilə baş tutur. İştirakçılar mərkəzimizdə təlim keçdikdən sonra peşəkar atıcı kimi Respublika və beynəlxalq səviyyəli yarışlarda iştirak edib dərəcə qazana bilər.
Ləğv Qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
İndi qeydiyyatdan keçin, asudə vaxtınızı daha xoş keçirin!","['Çərş.A. - Cüm., 12:00-20:00 (28 Apr. - 29 Dek.)', 'Baz.E. - Baz, 10:00-19:00 (28 Apr. - 31 Dek.)', 'Baz.E. - Baz, 10:00-19:00 (28 Apr. - 31 Dek.)', 'Şən. - Baz, 10:00-20:00 (29 Apr. - 31 Dek.)']"
İdman və Döyüş Sənəti,Kartinq Sür və Formula 1 həyəcanını hiss et,15,10+,"Qiymətə daxildir:

Təhlükəsizlik brifinqi (xəbərdaredici bayraqlar, trassada və texniki parkda pilotun davranış qaydaları)
Qoruyucu kaska və baş örtüyü
Peşəkar kartinq maşını
Qapalı trass - 420 metr uzunluq
10 dəqiqə sürüş (təqribi 15-20 dairə və təqribi 6.3km - 8.4km məsafə qət edilir)

Qiymət: 10 dəqiqə sürüş / 15AZN (təqribi 15-20 dairə və təqribi 6.3km - 8.4km məsafə qət edilir)
Ünvan: Nərimanov, Əhməd Rəcəbli, Elit TM yaxınlığı
Vacib qeyd: Sürücülük bacarığına ehtiyac yoxdur. Həzz və maraq üçün kartinq sürmək istəyənlər mərkəzimizə uyğun biletləri əldə edib səmərəli və yaddaqalan vaxt keçirə bilərlər.
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
Kartinq haqqında
Kartinq, böyük avtomobil yarışlarının birinci pilləsidir və bu sahədə çox böyük çəkiyə malikdir. Avtomobil yarışlarının məhşur ulduzları Mixael Şumaxer, Ceyson Batton, Kimi Raykonen, Lyuis Xamilton, Fernando Alonso öz idman karyeralarını kartinqdən başlayıblar, və bu onlara avtomobil idmanın ən yüksək çempionluq pilləsinə qalxmalarına yardım edib.
Maşın sənin bir hissən olmalıdır, qanın olmalıdır, sən isə – onun (maşının) dəyişilməz bir hissəsi. Yalnız belə öz sahəndə birinci ola bilərsən. - Ayrton Senna(RU)О мероприятииWhatsApp: 0772099700
В стоимость входит:● Инструктаж по технике безопасности (предупреждающие флажки, правилаповедения пилота на трассе и в технопарке)● Защитный шлем и головной убор● Профессиональная машина для картинга● Крытая трасса - длина 420 метров● 10 минут езды (около 15-20 кругов и около 6,3 км - 8,4 км пробега)Цена: 10 минут езды / 15 AZN (около 15-20 кругов и около 6,3 - 8,4 км пробега)
Адрес: Нариманов, Ахмед Раджабли, возле Торгового центра Элит
Важное примечание: Навыки вождения не требуются. Те, кто хочет занятьсякартингом ради удовольствия и интереса, могут приобрести соответствующие билетыв наш центр и эффективно и незабываемо провести время.
Правило отмены: Если билет возвращается или обменивается за 96 часов или болеедо начала обслуживания, взимается 20% от стоимости билета. Билет не подлежитвозврату или обмену, если до начала обслуживания осталось 96 часов или меньше.
О картинге: Картинг является первым этапом крупных автогонок и имеет большое значение в этойобласти. Знаменитые звезды автогонок Михаэль Шумахер, Дженсон Баттон, КимиРайкконен, Льюис Хэмилтон, Фернандо Алонсо начинали свою спортивную карьерус картинга, что помогло им подняться на высший чемпионский уровень автоспорта.«Машина должна быть частью тебя, твоей плотью, а ты — её составной частью.Только так можно стать единственным в своем роде.» - Айртон Сенна
 
(EN)About the eventWhatsApp: 0772099700
The price includes:● Safety briefing (warning flags, rules of pilot conduct on the highway and in thetechnopark)● Protective helmet and headgear● Professional go-karting machine● Indoor track - 420 meters long● 10-minute ride (about 15–20 laps and about 6.3 km - 8.4 km run)
Price: 10 minutes of driving / 15 AZN (about 15–20 laps and 6.3 km - 8.4 km run)
Address: Narimanov, Ahmed Rajabli, near Elite Shopping Center
Important note: Driving skills are not required. Those who want to go karting for fun andinterest can buy appropriate tickets to our center and spend their time effectively andunforgettably.
Cancellation policy: If a ticket is returned or exchanged 96 hours or more before theservice, 20% of the ticket price will be charged. Tickets are non-refundable ornon-exchangeable if there are 96 hours or less before the start of service.
About Go-Karting:Go-karting is the first stage of major auto racing and is of great importance in this field.Famous auto racing stars Michael Schumacher, Jenson Button, Kimi Räikkönen, LewisHamilton, and Fernando Alonso began their racing careers with karting, which helpedthem rise to the highest championship level of motorsports.“The machine must be part of you, your flesh, and you must be part of it. This is the only way tobecome one of a kind.” - Ayrton Senna","['Baz.E. - Baz, 12:00-00:00 (28 Apr. - 31 Dek.)']"
İdman və Döyüş Sənəti,Mix - Snayper və Avtomat Airsoft,18,7+,"Qiymətə daxildir

Silahla düzgün davranış və təhlükəsizlik qaydaları üzrə brifinq
Peşəkar təlim (düzgün duruş, silahın tutulması, nişan almaq və atəş qaydaları)
İştirakçıya uyğun ölçüdə silah
20 ədəd airsoft avtomat gülləsi 
7 ədəd snayper gülləsi (əlavə güllə bilet alarkən əldə edə bilərsiniz)
Qoruyucu vasitə atıcı gözlüklər (avtomat üçün)
Müxtəlif məsafələrdə olan sabit hədəflər (20 metr, 30 metr, 42 metr)
Fotosessiya imkanı (öz kameranızla)

Qiymət: 18 AZN (airsoft avtomatdan 20 atış, snayperdən 7 atış + təlim)
Vacib qeydlər: 

Heç vaxt silah tutmayan və praktiki atıcılıq idmanı ilə tanış olmaq istəyən, yeni başlayanlar üçün də uyğundur.
16 yaşından aşağı uşaqların valideynlə birlikdə gəlməsi mütləqdir.
Aylıq təlimdə iştirak edənlərə peşəkar atıcılıq sertifikatı verilir.

Dil: Azərbaycan və ya Rus dilində (istəyə uyğun olaraq).
Ünvan: Azərbaycan Nəşriyyatın yaxınlığı
Təlimçi haqqında

İngiltərənin atıcılıq akademiyasının rəhbəri Filip Torald tərəfindən və Rusiya atıcılıq üzrə yığma komandasında təlim almışdır.
Atıcılıq üzrə beynəlxalq dərəcəli sertifikatlara sahibdir, həmçinin beynəlxalq və yerli yarışların təşkilatçısıdır. Tələbələri dəfələrlə atıcılıq üzrə keçirilən yarışlarda qalib olmuşdur.
13 illik təcrübəyə malikdir, Beynəlxalq Döyüş və Xüsusi Hazırlıq federasiyasının Vitse prezidentidir.

Atıcılıq Növü Haqqında
Action AIR çərçivəsində siz əsas silahla təhlükəsiz davranış bacarıqları əldə edəcək və praktiki atış qaydaları ilə tanış olacaqsınız. Fəaliyyət həm böyüklər, həm də uşaqlar üçün nəzərdə tutulmuş, müasir, dinamik və innovativ idman növüdür. 
Optik nişangahlı tüfəng (PCP Snayper) ilə atəş açmağı öyrənmək fokusu artırır, görmə qabiliyyətini genişləndirir, fiziki intizam və gücü artırır. O həm də adrenalin hormonunun ifrazına səbəb olaraq iştirakçılara xoş və əyləncəli anlar yaşadır.
Ləğv Qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
İndi qeydiyyatdan keçin, asudə vaxtınızı daha xoş keçirin!","['Çərş.A. - Baz, 12:00-20:00 (28 Apr. - 31 Dek.)']"
İncəsənət və Sənətkarlıq,Ebru Sənəti Masterklass,15,3+,"Proqrama nələr daxildir:

Peşəkar Ebru ustası tərəfindən təlim
Musiqili Ebru Masterklassı (2 əsər; hazırlanan əsərləri iştirakçılar özlərilə aparırlar). 
Bütün lazımi ləvazimatlar (fırçalar, boyalar, önlük, alətlər və s)
Çay, kofe və dadlı şirniyyatlar
Foto sessiya imkanı (öz kameranızla)

Qiymət:

Uşaqlar:

1 dərs / 2 əsər - 25 AZN
Aylıq 4 dərs / 8 əsər + sertifikat - 75 AZN


Böyüklər:

1 dərs / 2 əsər - 30 AZN
Aylıq 4 dərs / 8 əsər + sertifikat - 100 AZN


 Qruplar

 Böyüklər - Minumum 4 nəfər - 1 dərs / 4 əsər -  20 AZN / 1 iştirakçı
 Uşaqlar -   Minumum 4 nəfər - 1 dərs / 4 əsər -  15 AZN / 1 iştirakçı



Sessiyanın dili: Sessiya Azərbaycan dilində aparılır.
Ünvan: Əlimərdan bəy Topçubaşov, (Tarqovı) Bakı ş. Azərbaycan
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
Program
İştirakçılar lazımlı alətlərdən istifadə qaydasını və texnikalarını öyrənərək əyləncəli və maraqlı Ebru sənətinin yaradılması prosesini təcrübə edirlər və praktiki olaraq tətbiq edir, beləliklə su üzərində xüsusi fırçalarvə boya ilə öz sənət əsərlərini hazırlayırlar. Bir iştirakçıya 30 dəqiqə vaxt ayrılır. Sessiya boyunca siz ebru sənəti nədir, ebru sənətinin növləri, ebru sənətinin faydaları nələrdir və s. bu kimi suallara cavab tapacaqsınız.
Ebru sənəti iştirakçıları ailələrinə və dostlarına öz işlərini göstərə biləcəkləri sənəti əsərləri yaradacaqlar. İştirakçılar sessiya zamanı işlədikləri əsəri sessiyadan sonra özləri ilə apara bilərlər və onlara aiddir.
Ebru Sənəti Haqqında
Ebru sənətinin 9-cu əslərdə Buxara şəhərindən başladığını bilirdiniz mi? Ebru su üzərində naxışdır. Boyalar fırça ilə qatılaşdırılmış su məhlulunun üzərinə səpilir. Sənətkar fərqli ölçülü bizlər vasitəsilə həmin boyaları müxtəlif formalara salır və sonda rəngarəng rəsm əsəri yaradır. Ebruda istifadə edilən boyalar təbii olduğu üçün solmur və ya rəngini dəyişmir.
İndi qeydiyyatdan keçin!","['Baz.E. - Baz, 10:00-17:00 (29 Apr. - 31 Dek.)', 'Baz.E. - Baz, 10:00-15:00 (29 Apr. - 31 Dek.)', 'Baz.E. - Baz, 10:00-16:00 (29 Apr. - 31 Dek.)', 'Baz.E. - Baz, 11:00-17:00 (29 Apr. - 30 Apr.)']"
İdman və Döyüş Sənəti,Oxçuluq - Olimpiya İdman Növü,10,7+,"Qiymətə daxildir

Peşəkar təlim (düzgün duruş, ox və yayın tutulma qaydaları, nişan almaq və atış metodları)
İştirakçıya uyğun ölçüdə ox və yay
12 ədəd ox atışı (əlavə atış bilet alarkən əldə edə bilərsiniz)
Müxtəlif məsafələrdə olan sabit hədəflər (20 metr, 30 metr, 42 metr)
Fotosessiya imkanı (öz kameranızla)

Qiymət: 12 ədəd ox atışı və peşəkar təlim
Vacib qeydlər:

Heç vaxt oxçuluq idmanı ilə tanış olmayan və yeni başlayanlar üçün də uyğundur.
16 yaşından aşağı uşaqların valideynlə birlikdə gəlməsi mütləqdir.
Aylıq təlimdə iştirak edənlərə peşəkar oxçuluq sertifikatı verilir.

Dil: Azərbaycan və ya Rus dilində (istəyə uyğun olaraq).
Ünvan: Azərbaycan Nəşriyyatın yaxınlığı
Təlimçi haqqında

İngiltərənin atıcılıq akademiyasının rəhbəri Filip Torald tərəfindən və Rusiya atıcılıq üzrə yığma komandasında təlim almışdır.
Atıcılıq üzrə beynəlxalq dərəcəli sertifikatlara sahibdir, həmçinin beynəlxalq və yerli yarışların təşkilatçısıdır. Tələbələri dəfələrlə atıcılıq üzrə keçirilən yarışlarda qalib olmuşdur.
13 illik təcrübəyə malikdir, Beynəlxalq Döyüş və Xüsusi Hazırlıq federasiyasının Vitse prezidentidir.

Oxçuluq Faydaları Haqqında
Qədim tarixə malik oxçuluğun Olimpiya idman növü olduğunu və hazırki Olimpiya yayının quruluşunun 3500 il əvvəlki oxla eyni quruluşda olduğunu bilirdinizmi?
Bu fəaliyyətə qoşulmaqla düzgün qamət, konsentrasiya və səbr qabiliyyətini aşılayan bu idman növü psixoloji rahatlıq tapmağa və eyni zamanda hədəfə fokuslanaraq məqsədlilik hissinin yaranmasında böyük rol oynayacaq.
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.","['Çərş.A. - Baz, 12:00-20:00 (28 Apr. - 31 Dek.)']"
İdman və Döyüş Sənəti,"3-ü 1-də Snayper, Airsoft Avtomat, Oxçuluq",24,4+,"Qiymətə daxildir

Silahla düzgün davranış və təhlükəsizlik qaydaları üzrə brifinq
Peşəkar təlim (düzgün duruş, silahın tutulması, nişan almaq və atəş qaydaları)
İştirakçıya uyğun ölçüdə silah
12 ədəd airsoft avtomat gülləsi
6 ədəd ox atışı
7 ədəd snayper gülləsi (əlavə güllə bilet alarkən əldə edə bilərsiniz)
Qoruyucu vasitə atıcı gözlüklər (airsoft avtomat üçün)
Müxtəlif məsafələrdə olan sabit hədəflər (20 metr, 30 metr, 42 metr)
Fotosessiya imkanı (öz kameranızla)

Qiymət: 24AZN (airsoft avtomatdan 12 atış, snayperdən 7 atış, oxdan 10 atış +  təlim)
Vacib qeydlər:

Heç vaxt silah tutmayan və praktiki atıcılıq idmanı ilə tanış olmaq istəyən, yeni başlayanlar üçün də uyğundur.
16 yaşından aşağı uşaqların valideynlə birlikdə gəlməsi mütləqdir.
Aylıq təlimdə iştirak edənlərə peşəkar atıcılıq sertifikatı verilir.

Dil: Azərbaycan və ya Rus dilində (istəyə uyğun olaraq).
Ünvan: Azərbaycan Nəşriyyatın yaxınlığı
Təlimçi haqqında

İngiltərənin atıcılıq akademiyasının rəhbəri Filip Torald tərəfindən və Rusiya atıcılıq üzrə yığma komandasında təlim almışdır.
Atıcılıq üzrə beynəlxalq dərəcəli sertifikatlara sahibdir, həmçinin beynəlxalq və yerli yarışların təşkilatçısıdır. Tələbələri dəfələrlə atıcılıq üzrə keçirilən yarışlarda qalib olmuşdur.
13 illik təcrübəyə malikdir, Beynəlxalq Döyüş və Xüsusi Hazırlıq federasiyasının Vitse prezidentidir.

Atıcılıq və Oxçuluq Növü Haqqında
Action AIR çərçivəsində siz əsas silahla təhlükəsiz davranış bacarıqları əldə edəcək və praktiki atış qaydaları ilə tanış olacaqsınız. Fəaliyyət həm böyüklər, həm də uşaqlar üçün nəzərdə tutulmuş, müasir, dinamik və innovativ idman növüdür. 
Optik nişangahlı tüfəng (PCP Snayper) ilə atəş açmağı öyrənmək fokusu artırır, görmə qabiliyyətini genişləndirir, fiziki intizam və gücü artırır. O həm də adrenalin hormonunun ifrazına səbəb olaraq iştirakçılara xoş və əyləncəli anlar yaşadır.
Oxçuluq isə oxçuluğun olimpiya növü ilə məşğul olursunuz. Əvvəlcə yayın və oxun düzgün tutulma qaydalarını öyrəndikdən və təlimçinin praktik izahından sonra məşqçilərin nəzarətində sərbəst atışlar edirlər.
İndi qeydiyyatdan keçin, asudə vaxtınızı daha xoş keçirin!
Ləğv Qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.","['Çərş.A. - Baz, 12:00-20:00 (28 Apr. - 31 Dek.)']"
"Elm, Texnologiya",İnteraktiv Elm Muzeyində Masterklass,15,6+,"Elmin necə möcüzələr yaratdığının gözlərinizlə şahidi olmaq üçün ölkədə yeganə İnteraktiv Elm Muzeyi ziyarətçiləri qəbul edir.
Şagird və tələbələr kitabda oxuduqlarını real olaraq təcrübədə görə bilmək üçün bu unikal muzey artıq 2 ildir fəaliyyət göstərir.
Muzeydə görəcəkləriniz:
Kitablarda uşaqlar üçün çox qəliz görünən və əksər vaxtlarda qaranlıq qalan elmi biliklər azyaşlıların asanlıqla başa düşə biləcəklərisadə və interaktivtəcrübə və eksponatlarla Muzey tərəfindən ziyarətçilərə təqdim və izah olunur. Muzeydəki 100-ə yaxın interaktiv eksponatlardan bir neçəsi:

Sənaye inqilabı yaradan buxar mühərriklərindən başlayaraq daxili yanma mühərrikinə kimi tarixi inkişafı
Elektro-maqnetizmdən Tesla bobininə gedən yol
Maddənin spektor şüalanması
Səs dalğaları
Printerin iş prinsipi
Aerodinamika qanunları

Vacib qeydlər: Ziyarətçilərə muzey eksponatlarının elmi işləmə əsasları haqqında dərin bilikləri olan bələdçi muzey tərəfindən təmin ediləcəkdir. Sessiya 90 dəqiqə davam edir.
Ziyarətə daxildir:

Bələdçi
Foto sessiya (öz kameranızla)

Sessiyanın dili: Sessiya paralel olaraq Azərbaycan və Rus dillərində aparıla bilər.
Ünvan: Tbilisi Prospekti.
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
İndi qeydiyyatdan keçin!","['Şən. - Baz, 11:00-14:30 (29 Apr. - 31 Dek.)']"
"Tamaşa, Teatr, Şoular","Chill Out Party - Açıq Havada Cinema, Canlı Musiqi və Tonqal",20,16+,"Açıq havada cinema və canlı musiqi gecələri qaldığı yerdən davam edir. Filmdən sonra ocaq ətrafında gitara və saksafon müşayiətində canlı ifalar gecəyə daha da rəng qatacaq.
Biletlər: 

Standart bilet: 20AZN
Standart bilet + transfer: 25AZN (Transfer Koroğlu metro stansiyasından)

Biletə daxildir:

‌Əraziyə giriş
‌Film
Oturmaq üçün pufiklər
Canlı musiqi
Popcorn və cola (hər iştirakçı üçün 1 ədəd)
‌Ocaqda marshmallow

Qeydlər:

Yerlərin sayı: 40 nəfər
Müddət: 19:00 - 23:00
Ünvan: Buzovna (dəqiq ünvan göndəriləcək)
Hava proqnozuna uyğun olaraq günlər müəyyən edilib. Çox nadir hallarda hava şəraiti ilə əlaqədar filmin vaxtı dəyişdirilə bilər.‌
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.

İndi qeydiyyatdan keçin!","['Şən. - Baz, 20:00-23:00 (29 Apr. - 30 Sen.)']"
